column_name,description
target_background_reserve_met,1 if average available capacity appears enough for reserve requirement.
floor_1_avg_rack_utilization_percent,Average rack utilization on floor 1.
floor_1_available_capacity_percent,Available rack capacity on floor 1.
floor_1_avg_power_kw,Average power use proxy for floor 1.
floor_1_avg_temp_c,Average temperature proxy for floor 1.
floor_1_water_lph,"Water use proxy for cooling floor 1, liters/hour."
floor_1_efficiency_score,Efficiency score for floor 1; higher is better.
floor_1_maintenance_rack_percent,Percentage of racks under maintenance on floor 1.
floor_2_avg_rack_utilization_percent,Average rack utilization on floor 2.
floor_2_available_capacity_percent,Available rack capacity on floor 2.
floor_2_avg_power_kw,Average power use proxy for floor 2.
floor_2_avg_temp_c,Average temperature proxy for floor 2.
floor_2_water_lph,"Water use proxy for cooling floor 2, liters/hour."
floor_2_efficiency_score,Efficiency score for floor 2; higher is better.
floor_2_maintenance_rack_percent,Percentage of racks under maintenance on floor 2.
floor_3_avg_rack_utilization_percent,Average rack utilization on floor 3.
floor_3_available_capacity_percent,Available rack capacity on floor 3.
floor_3_avg_power_kw,Average power use proxy for floor 3.
floor_3_avg_temp_c,Average temperature proxy for floor 3.
floor_3_water_lph,"Water use proxy for cooling floor 3, liters/hour."
floor_3_efficiency_score,Efficiency score for floor 3; higher is better.
floor_3_maintenance_rack_percent,Percentage of racks under maintenance on floor 3.
floor_4_avg_rack_utilization_percent,Average rack utilization on floor 4.
floor_4_available_capacity_percent,Available rack capacity on floor 4.
floor_4_avg_power_kw,Average power use proxy for floor 4.
floor_4_avg_temp_c,Average temperature proxy for floor 4.
floor_4_water_lph,"Water use proxy for cooling floor 4, liters/hour."
floor_4_efficiency_score,Efficiency score for floor 4; higher is better.
floor_4_maintenance_rack_percent,Percentage of racks under maintenance on floor 4.
floor_5_avg_rack_utilization_percent,Average rack utilization on floor 5.
floor_5_available_capacity_percent,Available rack capacity on floor 5.
floor_5_avg_power_kw,Average power use proxy for floor 5.
floor_5_avg_temp_c,Average temperature proxy for floor 5.
floor_5_water_lph,"Water use proxy for cooling floor 5, liters/hour."
floor_5_efficiency_score,Efficiency score for floor 5; higher is better.
floor_5_maintenance_rack_percent,Percentage of racks under maintenance on floor 5.
floor_6_avg_rack_utilization_percent,Average rack utilization on floor 6.
floor_6_available_capacity_percent,Available rack capacity on floor 6.
floor_6_avg_power_kw,Average power use proxy for floor 6.
floor_6_avg_temp_c,Average temperature proxy for floor 6.
floor_6_water_lph,"Water use proxy for cooling floor 6, liters/hour."
floor_6_efficiency_score,Efficiency score for floor 6; higher is better.
floor_6_maintenance_rack_percent,Percentage of racks under maintenance on floor 6.
floor_7_avg_rack_utilization_percent,Average rack utilization on floor 7.
floor_7_available_capacity_percent,Available rack capacity on floor 7.
floor_7_avg_power_kw,Average power use proxy for floor 7.
floor_7_avg_temp_c,Average temperature proxy for floor 7.
floor_7_water_lph,"Water use proxy for cooling floor 7, liters/hour."
floor_7_efficiency_score,Efficiency score for floor 7; higher is better.
floor_7_maintenance_rack_percent,Percentage of racks under maintenance on floor 7.
floor_8_avg_rack_utilization_percent,Average rack utilization on floor 8.
floor_8_available_capacity_percent,Available rack capacity on floor 8.
floor_8_avg_power_kw,Average power use proxy for floor 8.
floor_8_avg_temp_c,Average temperature proxy for floor 8.
floor_8_water_lph,"Water use proxy for cooling floor 8, liters/hour."
floor_8_efficiency_score,Efficiency score for floor 8; higher is better.
floor_8_maintenance_rack_percent,Percentage of racks under maintenance on floor 8.
floor_9_avg_rack_utilization_percent,Average rack utilization on floor 9.
floor_9_available_capacity_percent,Available rack capacity on floor 9.
floor_9_avg_power_kw,Average power use proxy for floor 9.
floor_9_avg_temp_c,Average temperature proxy for floor 9.
floor_9_water_lph,"Water use proxy for cooling floor 9, liters/hour."
floor_9_efficiency_score,Efficiency score for floor 9; higher is better.
floor_9_maintenance_rack_percent,Percentage of racks under maintenance on floor 9.
floor_10_avg_rack_utilization_percent,Average rack utilization on floor 10.
floor_10_available_capacity_percent,Available rack capacity on floor 10.
floor_10_avg_power_kw,Average power use proxy for floor 10.
floor_10_avg_temp_c,Average temperature proxy for floor 10.
floor_10_water_lph,"Water use proxy for cooling floor 10, liters/hour."
floor_10_efficiency_score,Efficiency score for floor 10; higher is better.
floor_10_maintenance_rack_percent,Percentage of racks under maintenance on floor 10.
